Scale,county,species,mean_birds,Rank,%,check
Country,UK,Barn owl,0.002,62,0.27,1
Country,UK,Tawny owl,0.001,63,0.2,1
Country,UK,Grey partridge,0.001,64,0.14,1
Country,UK,Little owl,0.001,65,0.1,1
Country,UK,Lesser black backed gull,0.001,66,0.13,1
Country,UK,Great black backed gull,0.001,67,0.13,1
Country,UK,Corn bunting,0,68,0.09,1
Country,UK,Black redstart,0,69,0.05,1
Country,UK,Lapwing,0,70,0.11,1
Country,UK,Meadow pipit,0,71,0.05,1
Country,UK,Skylark,0,72,0.05,1
Country,UK,Waxwing,0,73,0.05,1
Country,Wales,House Sparrow,6.063,1,74.86,0
Country,Wales,Blue Tit,4.507,2,86.5,0
Country,Wales,Starling,4.146,3,43.97,0
Country,Wales,Chaffinch,3.532,4,65.73,0
Country,Wales,Blackbird,2.338,5,88.75,0
Country,Wales,Great Tit,2.16,6,64.8,0
Country,Wales,Robin,1.428,7,86.47,0
Country,Wales,Goldfinch,1.362,8,27.12,0
Country,Wales,Jackdaw,1.357,9,32.97,0
Country,Wales,Magpie,1.221,10,56.42,0
Country,Wales,Collared Dove,1.186,11,47.09,0
Country,Wales,Dunnock,1.038,12,48.35,0
Country,Wales,Coal Tit,0.927,13,42.72,0
Country,Wales,Greenfinch,0.881,14,27.25,0
Country,Wales,Long tailed tit,0.868,15,22.13,0
Country,Wales,Woodpigeon,0.855,16,37.15,0
Country,Wales,Carrion crow,0.823,17,28.66,0
Country,Wales,Feral pigeon,0.529,18,13.15,0
Country,Wales,Nuthatch,0.354,19,23.76,0
Country,Wales,Wren,0.307,20,24.9,0
Country,Wales,Common gull,0.296,21,6.49,0
Country,Wales,Great spotted woodpecker,0.271,22,21.13,0
Country,Wales,Bullfinch,0.227,23,11.46,0
Country,Wales,Siskin,0.222,24,7.59,0
Country,Wales,Song Thrush,0.215,25,16.69,0
Country,Wales,Pheasant,0.171,26,6.64,0
Country,Wales,Rook,0.165,27,4.2,0
Country,Wales,Tree sparrow,0.127,28,2.99,0
Country,Wales,Jay,0.124,29,8.28,0
Country,Wales,Buzzard,0.099,30,6.61,0
Country,Wales,Pied wagtail,0.089,31,6.41,0
Country,Wales,Herring gull,0.087,32,3.21,0
Country,Wales,Blackcap,0.069,33,5.25,0
Country,Wales,Sparrowhawk,0.063,34,6.05,0
Country,Wales,Fieldfare,0.06,35,1,0
Country,Wales,Black headed gull,0.057,36,1.27,0
Country,Wales,Mallard,0.037,37,0.97,0
Country,Wales,Redwing,0.034,38,0.8,0
Country,Wales,Redpoll,0.034,39,1.18,0
Country,Wales,Marsh tit,0.033,40,2.29,0
Country,Wales,Treecreeper,0.032,41,2.78,0
Country,Wales,Grey wagtail,0.024,42,1.95,0
Country,Wales,Yellowhammer,0.023,43,0.92,0
Country,Wales,Reed bunting,0.021,44,1,0
Country,Wales,Grey heron,0.021,45,1.93,0
Country,Wales,Lesser spotted woodpecker,0.02,46,1.85,0
Country,Wales,Red Kite,0.019,47,1.01,0
Country,Wales,Mistle thrush,0.018,48,1.64,0
Country,Wales,Goldcrest,0.018,49,1.52,0
Country,Wales,Brambling,0.016,50,1,0
Country,Wales,Raven,0.016,51,1.27,0
Country,Wales,Willow tit,0.015,52,1.16,0
Country,Wales,Green woodpecker,0.013,53,1.27,0
Country,Wales,Moorhen,0.009,54,0.52,0
Country,Wales,Kestrel,0.008,55,0.88,1
Country,Wales,Stock dove,0.007,56,0.45,0
Country,Wales,Chiffchaff,0.006,57,0.62,1
Country,Wales,Linnet,0.006,58,0.39,0
Country,Wales,Red legged partridge,0.005,59,0.21,0
Country,Wales,Barn owl,0.003,60,0.39,1
Country,Wales,Tawny owl,0.003,61,0.4,1
Country,Wales,Lesser black backed gull,0.002,62,0.32,1
Country,Wales,Great black backed gull,0.001,63,0.25,1
Country,Wales,Black redstart,0.001,64,0.09,1
Country,Wales,Grey partridge,0.001,65,0.06,0
Country,Wales,Meadow pipit,0.001,66,0.11,1
Country,Wales,Corn bunting,0.001,67,0.07,1
Country,Wales,Little owl,0,68,0.06,1
Country,Wales,Skylark,0,69,0.06,1
Country,Wales,Lapwing,0,70,0.16,1
Country,Wales,Ring necked parakeet,0,71,0.02,0
Country,Wales,Waxwing,0,72,0.01,0
Country,Wales,Hooded crow,0,73,0.03,
County,Aberdeen City,House Sparrow,4.671,1,72.24,0
County,Aberdeen City,Blackbird,2.97,2,94.61,0
County,Aberdeen City,Starling,2.708,3,40.57,0
County,Aberdeen City,Blue Tit,2.353,4,83.15,0
County,Aberdeen City,Chaffinch,2.197,5,56.47,0
County,Aberdeen City,Feral pigeon,1.528,6,38.43,0
County,Aberdeen City,Woodpigeon,1.325,7,54.72,0
County,Aberdeen City,Robin,1.291,8,87.06,0
County,Aberdeen City,Goldfinch,1.155,9,24.93,0
County,Aberdeen City,Great Tit,1.032,10,47.71,0
County,Aberdeen City,Greenfinch,0.904,11,30.19,0
County,Aberdeen City,Coal Tit,0.889,12,44.61,0
