"ID","Name","Latitude","Longitude","Region","Country","Continent"
"99203","LONDON  OLYMPIC PARK SOUTH (99203)","51.5340","-0.0090","London & South East England","ENGLAND","EUROPE"
"99204","LONDON  OLYMPIC PARK NORTH (99204)","51.5420","-0.0170","London & South East England","ENGLAND","EUROPE"
"99213","HULL WEST (99213)","53.7400","-0.3700","Yorkshire & Humber","",""
"99214","HULL EAST (99214)","53.7600","-0.2900","Yorkshire & Humber","",""
"99557","MALHAM TARN (99557)","54.1000","-2.1670","","",""
"300689","HOWWOOD (300689)","55.8061","-4.5706","","",""
"301168","CANNINGTON (301168)","51.1530","-3.0650","","",""
"301739","SHOTTS (301739)","55.8188","-3.7985","","",""
"301777","LANGBANK (301777)","55.9245","-4.5858","","",""
"301886","OBAN AIRPORT (301886)","56.4634","-5.3994","","",""
"310002","BIRMINGHAM (310002)","52.4859","-1.8890","","ENGLAND","EUROPE"
"310003","BRADFORD (310003)","53.7958","-1.7579","","ENGLAND","EUROPE"
"310004","BRISTOL (310004)","51.4541","-2.5866","","ENGLAND","EUROPE"
"310006","COVENTRY (310006)","52.4065","-1.5182","","ENGLAND","EUROPE"
"310007","DERBY (310007)","52.9222","-1.4731","","ENGLAND","EUROPE"
"310009","GLASGOW (310009)","55.8643","-4.2505","","SCOTLAND","EUROPE"
"310011","LEICESTER (310011)","52.6365","-1.1382","","ENGLAND","EUROPE"
"310012","LIVERPOOL (310012)","53.4113","-2.9887","","ENGLAND","EUROPE"
"310013","MANCHESTER (310013)","53.4790","-2.2465","","ENGLAND","EUROPE"
"310015","NOTTINGHAM (310015)","52.9545","-1.1565","","ENGLAND","EUROPE"
"310016","PLYMOUTH (310016)","50.3713","-4.1348","","ENGLAND","EUROPE"
"310019","STOKE-ON-TRENT (310019)","53.0024","-2.1780","","ENGLAND","EUROPE"
"310020","SUNDERLAND (310020)","54.9068","-1.3822","","ENGLAND","EUROPE"
"310022","BARNSLEY (310022)","53.5524","-1.4782","","ENGLAND","EUROPE"
"310023","BARROW-IN-FURNESS (310023)","54.1088","-3.2175","","ENGLAND","EUROPE"
"310024","BASILDON (310024)","51.5756","0.4904","","ENGLAND","EUROPE"
